author_id,scopus_id
56373975900,SCOPUS_ID:85014427266
56373975900,SCOPUS_ID:85019417641
56373975900,SCOPUS_ID:84925485473
14035993500,SCOPUS_ID:0036813148
14035993500,SCOPUS_ID:0036280575
14035993500,SCOPUS_ID:0036824404
55857588400,SCOPUS_ID:84964691162
55857588400,SCOPUS_ID:84934934931
55857588400,SCOPUS_ID:84885432168
56174321900,SCOPUS_ID:84975476836
56174321900,SCOPUS_ID:84867094263
56174321900,SCOPUS_ID:84858379763
56174317300,SCOPUS_ID:15544372364
56174317300,SCOPUS_ID:28744436903
56174317300,SCOPUS_ID:0036615101
57157709100,SCOPUS_ID:85031916536
55551186600,SCOPUS_ID:84875226138
55551186600,SCOPUS_ID:84883213238
55551186600,SCOPUS_ID:84862785375
56898238900,SCOPUS_ID:85014922230
56898238900,SCOPUS_ID:84971207701
56898238900,SCOPUS_ID:84943788390
56202428300,SCOPUS_ID:84905814384
56202428300,SCOPUS_ID:84905055048
56202428300,SCOPUS_ID:84902248302
56451919900,SCOPUS_ID:84924759127
56451919900,SCOPUS_ID:84897823390
56451919900,SCOPUS_ID:84874747419
57192923082,SCOPUS_ID:85014648854
57192923082,SCOPUS_ID:85009060734
57192923082,SCOPUS_ID:85014140712
56174319700,SCOPUS_ID:25844516540
56174319700,SCOPUS_ID:22844444306
36068705000,SCOPUS_ID:65249186389
36068705000,SCOPUS_ID:46449107252
36068705000,SCOPUS_ID:34547261949
56445537900,SCOPUS_ID:85018860037
56445537900,SCOPUS_ID:84969850489
56445537900,SCOPUS_ID:84917436818
56155526800,SCOPUS_ID:84941214542
56155526800,SCOPUS_ID:84949008459
56155526800,SCOPUS_ID:84900361046
56895468200,SCOPUS_ID:84994012325
56895468200,SCOPUS_ID:84996558994
56108012800,SCOPUS_ID:84961937729
56108012800,SCOPUS_ID:84903525220
56108012800,SCOPUS_ID:84994820059
55822210700,SCOPUS_ID:84959237976
55822210700,SCOPUS_ID:84954376789
55822210700,SCOPUS_ID:84881599094
56754483000,SCOPUS_ID:85032442764
56754483000,SCOPUS_ID:85018571039
56754483000,SCOPUS_ID:84952759231
57189699806,SCOPUS_ID:85028022426
57189699806,SCOPUS_ID:85006972670
57189699806,SCOPUS_ID:84974720901
