scopus_id,affiliation_name,affiliation_city,affiliation_country
SCOPUS_ID:70149103658,Peking University,Beijing,China
SCOPUS_ID:77951633907,Peking University,Beijing,China
SCOPUS_ID:84903194728,Peking University,Beijing,China
SCOPUS_ID:84903119638,Peking University,Beijing,China
SCOPUS_ID:85021161342,Peking University,Beijing,China
SCOPUS_ID:84999748138,Peking University,Beijing,China
SCOPUS_ID:84929942596,Peking University,Beijing,China
SCOPUS_ID:84925394793,Peking University,Beijing,China
SCOPUS_ID:41349095459,Peking University,Beijing,China
SCOPUS_ID:34547940259,Peking University,Beijing,China
SCOPUS_ID:0035485325,Nanyang Technological University,Singapore City,Singapore
SCOPUS_ID:0033738456,Nanyang Technological University,Singapore City,Singapore
SCOPUS_ID:85014179382,Peking University,Beijing,China
SCOPUS_ID:84928910926,Peking University,Beijing,China
SCOPUS_ID:85019722710,Peking University,Beijing,China
SCOPUS_ID:85013985447,Institute of Plasma Physics Chinese Academy of Sciences,Hefei,China
SCOPUS_ID:85013985447,Lawrence Livermore National Laboratory,Livermore,United States
SCOPUS_ID:0002905481,Peking University,Beijing,China
SCOPUS_ID:0012837867,Peking University,Beijing,China
SCOPUS_ID:36149067253,Peking University,Beijing,China
SCOPUS_ID:36149063654,Peking University,Beijing,China
SCOPUS_ID:42549110794,Peking University,Beijing,China
SCOPUS_ID:84982309245,Peking University,Beijing,China
SCOPUS_ID:84946559842,Peking University,Beijing,China
SCOPUS_ID:38149001550,Peking University,Beijing,China
SCOPUS_ID:0030173273,Fudan University,Shanghai,China
SCOPUS_ID:84893908106,Peking University,Beijing,China
SCOPUS_ID:84875873397,Peking University,Beijing,China
SCOPUS_ID:1642512389,Fuwai Hospital,Beijing,China
SCOPUS_ID:0034618235,Peking University,Beijing,China
SCOPUS_ID:84920406822,Peking University,Beijing,China
SCOPUS_ID:84946685923,Peking University,Beijing,China
SCOPUS_ID:84874353325,Peking University,Beijing,China
SCOPUS_ID:84871432057,Peking University,Beijing,China
SCOPUS_ID:85032954919,Peking University,Beijing,China
SCOPUS_ID:85032499507,Ministry of Environmental Protection (MEP),Guangzhou,China
SCOPUS_ID:84983454058,Peking University,Beijing,China
SCOPUS_ID:84881379220,Peking University,Beijing,China
SCOPUS_ID:84855860075,Peking University,Beijing,China
SCOPUS_ID:84930905450,Peking University,Beijing,China
SCOPUS_ID:84928243559,Peking University,Beijing,China
SCOPUS_ID:84928243559,Peking University,Beijing,China
SCOPUS_ID:84928243559,Peking University,Beijing,China
SCOPUS_ID:84928243559,Peking University,Beijing,China
SCOPUS_ID:84939438998,Peking University,Beijing,China
SCOPUS_ID:84939438998,Peking University,Beijing,China
SCOPUS_ID:84939438998,Peking University,Beijing,China
SCOPUS_ID:0030079916,Peking University,Beijing,China
SCOPUS_ID:0029976206,Peking University,Beijing,China
SCOPUS_ID:0036526656,Peking University,Beijing,China
SCOPUS_ID:0034240809,Peking University,Beijing,China
SCOPUS_ID:42749108400,Harbin Institute of Technology,Harbin,China
SCOPUS_ID:42749108400,Jilin University,Changchun,China
SCOPUS_ID:79952206939,Peking University,Beijing,China
SCOPUS_ID:79952203491,Peking University,Beijing,China
SCOPUS_ID:85019111832,Capital Medical University China,Beijing,China
SCOPUS_ID:84938562425,Aerospace Center Hospital,Beijing,China
SCOPUS_ID:84938562425,Peking University,Beijing,China
SCOPUS_ID:85020902887,Peking University,Beijing,China
SCOPUS_ID:85020902887,Ministry of Education China,Beijing,China
SCOPUS_ID:85021849232,Peking University,Beijing,China
SCOPUS_ID:84861746960,Peking University,Beijing,China
SCOPUS_ID:79952989698,Peking University,Beijing,China
SCOPUS_ID:84862532222,Peking University,Beijing,China
SCOPUS_ID:79957570468,Peking University,Beijing,China
SCOPUS_ID:33751107723,Peking University,Beijing,China
SCOPUS_ID:33846833576,Peking University,Beijing,China
SCOPUS_ID:81355132189,Peking University,Beijing,China
SCOPUS_ID:81355142665,Peking University,Beijing,China
SCOPUS_ID:0031886118,Chinese Academy of Sciences,Beijing,China
SCOPUS_ID:0031571113,Chinese Academy of Sciences,Beijing,China
SCOPUS_ID:84988345516,Peking University,Beijing,China
SCOPUS_ID:84934281067,Peking University,Beijing,China
SCOPUS_ID:85021400955,Peking University,Beijing,China
SCOPUS_ID:85021400955,Collaborative Innovation Center of Quantum Matter,Beijing,China
SCOPUS_ID:84969835218,Peking University,Beijing,China
SCOPUS_ID:77952496299,Peking University,Beijing,China
SCOPUS_ID:77952498282,Peking University,Beijing,China
SCOPUS_ID:33748448268,Peking University,Beijing,China
SCOPUS_ID:0347930679,Peking University,Beijing,China
SCOPUS_ID:0347930679,Peking University,Beijing,China
SCOPUS_ID:0347930679,University of Pittsburgh,Pittsburgh,United States
SCOPUS_ID:84863241648,Peking University,Beijing,China
SCOPUS_ID:50549097096,Peking University,Beijing,China
SCOPUS_ID:0035243107,Peking University,Beijing,China
SCOPUS_ID:0029388860,Peking University,Beijing,China
SCOPUS_ID:84974677681,Peking University,Beijing,China
SCOPUS_ID:84959571865,Peking University,Beijing,China
SCOPUS_ID:2742598342,Peking University,Beijing,China
SCOPUS_ID:8344267879,Peking University,Beijing,China
SCOPUS_ID:85029639543,Peking University,Beijing,China
SCOPUS_ID:85009786103,Peking University,Beijing,China
SCOPUS_ID:84860185433,Peking University,Beijing,China
SCOPUS_ID:84860162365,Peking University,Beijing,China
SCOPUS_ID:84860162365,"Shantou University, Medical College (SUMC)",Shantou,China
SCOPUS_ID:84964678921,Peking University,Beijing,China
